Country Name,Year,Value
United States,2000,282162411
United States,2001,284968955
United States,2002,287625193
United States,2003,290107933
United States,2004,292805298
United States,2005,295516599
United States,2006,298379912
United States,2007,301231207
United States,2008,304093966
United States,2009,306771529
United States,2010,309327143
United States,2011,311583481
United States,2012,313877662
United States,2013,316059947
United States,2014,318386329
United States,2015,320738994
United States,2000,9632030
United States,2001,9632030
United States,2002,9632030
United States,2003,9632030
United States,2004,9632030
United States,2005,9632030
United States,2006,9632030
United States,2007,9632030
United States,2008,9831510
United States,2009,9831510
United States,2010,9831510
United States,2011,9831510
United States,2012,9831510
United States,2013,9831510
United States,2014,9831510
United States,2015,9831510
United States,2000,10147902611922.7
United States,2001,10462311294254.3
United States,2002,10734743024338
United States,2003,11537542505578.1
United States,2004,12744297931435.6
United States,2005,13651053758978.5
United States,2006,14278273571359.7
United States,2007,14617875615086.8
United States,2008,14935235756547.4
United States,2009,14697125884560.2
United States,2010,15214983016009
United States,2011,15786542027248.9
United States,2012,16537791097888.9
United States,2013,17023065746103.9
United States,2014,17725038819059.4
United States,2015,18124085517102
United States,2000,35960
United States,2001,36710
United States,2002,37320
United States,2003,39770
United States,2004,43520
United States,2005,46190
United States,2006,47850
United States,2007,48530
United States,2008,49110
United States,2009,47910
United States,2010,49190
United States,2011,50670
United States,2012,52690
United States,2013,53860
United States,2014,55670
United States,2015,56510
United States,2000,10385197000000
United States,2001,10749023000000
United States,2002,11056572000000
United States,2003,11539140000000
United States,2004,12322009000000
United States,2005,13170993000000
United States,2006,14071835000000
United States,2007,14557597000000
United States,2008,14723881000000
United States,2009,14436590000000
United States,2010,15185160000000
United States,2011,15861958000000
United States,2012,16640301000000
United States,2013,17140708000000
United States,2014,17984237000000
United States,2015,18608138000000
United States,2000,36810
United States,2001,37720
United States,2002,38440
United States,2003,39780
United States,2004,42080
United States,2005,44570
United States,2006,47160
United States,2007,48330
United States,2008,48420
United States,2009,47060
United States,2010,49090
United States,2011,50910
United States,2012,53020
United States,2013,54230
United States,2014,56490
United States,2015,58020
United States,2000,3035360
United States,2001,3040544
United States,2002,3045728
United States,2003,3050912
United States,2004,3056096
United States,2005,3061280
United States,2006,3066464
United States,2007,3071648
United States,2008,3076832
United States,2009,3082016
United States,2010,3087200
United States,2011,3089950
United States,2012,3092700
United States,2013,3095450
United States,2014,3098200
United States,2015,3100950
United States,2000,8056.86384994775
United States,2001,7827.88632537183
United States,2002,7843.34484914192
United States,2003,7794.23553026383
United States,2004,7881.57864206405
United States,2005,7846.49968849973
United States,2006,7697.65253500041
United States,2007,7758.16598577052
United States,2008,7488.08192070473
United States,2009,7056.78365282718
United States,2010,7161.42655156518
United States,2011,7029.95460147645
United States,2012,6872.02728367462
United States,2013,6905.59863316056
United States,2014,6960.68399657951
United States,2015,6803.99660728499
United States,2000,13671.0520240061
United States,2001,13046.6141478464
United States,2002,13296.1822993023
United States,2003,13307.4920085002
United States,2004,13388.5897105591
United States,2005,13704.5770481407
United States,2006,13583.2669593387
United States,2007,13657.4528282523
United States,2008,13663.4279681827
United States,2009,12913.7146883015
United States,2010,13394.9027551068
United States,2011,13245.8819278677
United States,2012,12964.1879389302
United States,2013,13004.0235689845
United States,2014,12993.9655794706
United States,2000,10250952000000
United States,2001,10581929000000
United States,2002,10929108000000
United States,2003,11456450000000
United States,2004,12217196000000
United States,2005,13039197000000
United States,2006,13815583000000
United States,2007,14474228000000
United States,2008,14769862000000
United States,2009,14478067000000
United States,2010,15048971000000
United States,2011,15599732000000
United States,2012,16253970000000
United States,2013,16880683000000
United States,2014,17608138000000
United States,2015,18295019000000
United States,2000,1479676
United States,2001,1335725
United States,2002,1168499
United States,2003,1074728
United States,2004,1200409
United States,2005,1129462
United States,2006,1113259
United States,2007,1108509
United States,2008,1095864
United States,2009,1031010
United States,2010,1030731
United States,2011,1322433
United States,2012,1323368
United States,2013,1320840
United States,2014,1250914
United States,2015,1221849
United States,2000,34397000000
United States,2001,38219000000
United States,2002,40109000000
United States,2003,40943000000
United States,2004,44357000000
United States,2005,47751000000
United States,2006,50974000000
United States,2007,53039000000
United States,2008,55679000000
United States,2009,50555000000
United States,2010,50527000000
United States,2011,50854000000
United States,2012,52371000000
United States,2013,55003000000
United States,2014,57239000000
United States,2015,60719000000
United States,2000,349125000000
United States,2001,172496000000
United States,2002,111055000000
United States,2003,117106000000
United States,2004,213641000000
United States,2005,142344000000
United States,2006,298463000000
United States,2007,346613000000
United States,2008,341092000000
United States,2009,161083000000
United States,2010,264039000000
United States,2011,263497000000
United States,2012,250345000000
United States,2013,288131000000
United States,2014,251856000000
United States,2015,511434000000
United States,2000,36329.9702595751
United States,2001,37133.6203973517
United States,2002,37997.7424300242
United States,2003,39490.3023903176
United States,2004,41724.6411982614
United States,2005,44123.3996470026
United States,2006,46301.9876485519
United States,2007,48050.227412195
United States,2008,48570.0594269601
United States,2009,47194.9500893872
United States,2010,48650.6643227232
United States,2011,50065.9789470675
United States,2012,51784.4114692048
United States,2013,53409.7507774372
United States,2014,55304.3155317137
United States,2015,57040.2082136605
United States,2002,67930000000
United States,2003,78112000000
United States,2004,160363000000
United States,2007,177277000000
United States,2008,2491000000
United States,2009,151514000000
United States,2010,85789000000
United States,2011,173119000000
United States,2012,126895000000
United States,2013,104665000000
United States,2014,135673000000
